user_id,session_id,product_id,event_type,timestamp,duration_seconds
2620,sess_2620_46048,1229,view,1763702039,126.44
420,sess_420_87397,2386,view,1760731969,27.79
896,sess_896_83563,1477,view,1764474700,631.49
1719,sess_1719_87236,1452,view,1763143377,683.17
1719,sess_1719_87236,1452,click,1763143422,628.63
1719,sess_1719_87236,1452,add_to_cart,1763143561,250.81
1719,sess_1719_87236,1452,purchase,1763143557,861.53
1719,sess_1719_87236,1452,purchase,1763143741,92.89
1557,sess_1557_55082,1199,view,1757681800,726.61
1557,sess_1557_55082,1199,click,1757681922,483.07
1557,sess_1557_55082,1199,add_to_cart,1757682002,71.84
1201,sess_1201_85674,2699,view,1764584575,42.2
1201,sess_1201_85674,2699,click,1764584638,695.99
1201,sess_1201_85674,2699,add_to_cart,1764584625,769.93
414,sess_414_69429,1779,view,1757145627,147.23
414,sess_414_69429,1779,click,1757145722,189.35
414,sess_414_69429,1779,add_to_cart,1757145773,631.94
2800,sess_2800_89840,2328,view,1757157475,481.19
1003,sess_1003_59735,1335,view,1763281670,619.66
1003,sess_1003_59735,1335,click,1763281731,616.47
1003,sess_1003_59735,1335,add_to_cart,1763281708,206.91
1003,sess_1003_59735,1335,purchase,1763281709,724.74
1003,sess_1003_59735,1335,purchase,1763282098,241.7
865,sess_865_37869,2871,view,1756814206,356.67
865,sess_865_37869,2871,click,1756814375,413.51
865,sess_865_37869,2871,add_to_cart,1756814350,126.53
2300,sess_2300_86622,2104,view,1760622716,360.06
2300,sess_2300_86622,2104,click,1760622777,897.6
2300,sess_2300_86622,2104,add_to_cart,1760622796,459.06
373,sess_373_24371,2548,view,1765246391,144.82
2788,sess_2788_60432,1865,view,1761408133,896.51
2168,sess_2168_99166,1515,view,1755718937,613.86
2200,sess_2200_94012,2538,view,1762103445,264.86
2200,sess_2200_94012,2538,click,1762103490,408.9
2200,sess_2200_94012,2538,add_to_cart,1762103589,874.73
732,sess_732_91959,2040,view,1762803570,457.39
815,sess_815_31174,1314,view,1758761364,826.73
815,sess_815_31174,1314,click,1758761522,292.42
815,sess_815_31174,1314,add_to_cart,1758761382,101.57
1487,sess_1487_41385,2800,view,1766838819,790.33
1487,sess_1487_41385,2800,click,1766838844,78.0
1487,sess_1487_41385,2800,add_to_cart,1766839077,734.6
2182,sess_2182_26828,2569,view,1756741860,852.22
2182,sess_2182_26828,2569,click,1756741907,239.29
2485,sess_2485_80686,1867,view,1755139395,641.94
2485,sess_2485_80686,1867,click,1755139502,895.64
2662,sess_2662_77839,1765,view,1760235962,223.87
2662,sess_2662_77839,1765,click,1760235983,304.94
2662,sess_2662_77839,1765,add_to_cart,1760236272,498.98
2662,sess_2662_77839,1765,purchase,1760236427,198.98
